duty_addr,duty_div,duty_div_nam,duty_emcls,duty_emcls_name,duty_eryn,duty_etc,duty_inf,duty_mapimg,duty_name,duty_tel1,duty_time1c,duty_time1s,duty_time2c,duty_time2s,duty_time3c,duty_time3s,duty_time4c,duty_time4s,duty_time5c,duty_time5s,hpid,post_cdn1,post_cdn2,rnum,wgs84Lat,wgs84Lon,duty_time6c,duty_time6s,duty_tel3,duty_time8c,duty_time8s,duty_time7c,duty_time7s
"부산광역시 강서구 명지국제6로1번길 30, A동 3층 (명지동)",C,의원,G099,응급의료기관 이외,2,12:00 - 13:00 휴게시간,병원 대표 전화번호 : 051-710-6888~90,"버스정류장: 퀸덤아파트 1,2단지",(사)대한산업보건협회 남부산의원,051-710-6888,1600,0830,1600,0830,1600,0830,1600,0830,1600,0830,A1200502,467,26 ,1,35.0885897824,128.8991926185,,,,,,,
부산광역시 수영구 수영로 425 (남천동),C,의원,G099,응급의료기관 이외,2,점심시간 12:30-13:30  / 토요일 12:00 접수마감,"내시경(수요일만), 24시간무료분만가능,남의사,소변검사/입원실수5",2호선 남천역 2번출구,(사)인구보건복지협회 부산시지회 가족보건의원,051-624-5583,1700,0830,1700,0830,1700,0830,1700,0830,1700,0830,A1202083,483,16 ,2,35.14415277777778,129.10891666666828,1220,0830,,,,,
"부산광역시 사하구 다대로 263, 5층 501호 (장림동)",C,의원,G099,응급의료기관 이외,2,점심 12:30~13:30,,구평 마을버스3번 종점 옆 ,(사)한국한센복지협회부산지부 부설복지의원,051-262-7511,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,A1202080,495,09 ,3,35.07017130765615,128.98875202047304,1300,0900,,,,,
"부산광역시 연제구 중앙대로 1091, 제세빌딩 3,7층 (연산동)",C,의원,G099,응급의료기관 이외,2,점심 12:30-14:00,,"1,3호선 연산역 1번출구/제세빌딩 7층",(의) 열린의료재단 연산열린의원,051-714-0835,1800,0830,1800,0830,1800,0830,1300,0830,1800,0830,A1205471,475,40 ,4,35.185412563400014,129.08065658770147,1300,0830,,,,,
"부산광역시 영도구 절영로 30, 삼세메디컬센터 4,5(일부),6 층 (대교동1가)",C,의원,G099,응급의료기관 이외,2,점심 12:30-13:30,,버스정류장: 대교사거리,(의)삼세의료재단 몸사랑내과의원,0514187777,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,B1200280,490,45 ,5,35.091905434431595,129.0392452164554,1300,0900,,,,,
"부산광역시 영도구 절영로 30, 삼세메디컬센터 5층일부,7~11층 (대교동1가)",G,한의원,G099,응급의료기관 이외,2,"점심시간 12:30~13:30
",,대교사거리 부근,(의)삼세의료재단 삼세한의원,051-418-7777,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,B1201661,490,45 ,6,35.0919053607,129.0392496003,1800,0900,,,,,
부산광역시 기장군 기장읍 대청로72번길 6,B,병원,G007,지역응급의료기관,1,점심12:30-13:30,,버스정류장: 청강사거리,(의)서일의료재단기장병원,051-723-0171,1800,0900,1700,0900,1700,0900,1700,0900,1700,0900,A1200028,460,72 ,7,35.23602946449906,129.21649161387128,1300,0900,051-723-2119,,,,
부산광역시 수영구 수영로536번길 71 (광안동),D,요양병원,G099,응급의료기관 이외,2,점심12:30-13:30,,버스정류장: 서호병원,(의)서호의료재단 서호광안요양병원,051-754-2222,1730,0900,1730,0900,1730,0900,1730,0900,1700,0900,A1202291,482,99 ,8,35.15271801571637,129.11585204873978,1200,0900,,,,,
부산광역시 영도구 태종로 135 (봉래동3가),C,의원,G099,응급의료기관 이외,2,점심시간 12:30-14:00,,1호선 남포역 8번출구/버스정류장: 부산영도우체국,(의)소명의료재단한빛사랑의원,051-416-4442,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,A1204840,490,35 ,9,35.092076576209784,129.0440649735406,1300,0900,,,,,
"부산광역시 부산진구 개금온정로 5, 지하1,지상3층 (개금동, 성원상떼뷰)",D,요양병원,G099,응급의료기관 이외,2,점심 12:30~13:30,,2호선 개금역 2번출구/성원상떼빌 3층,(의)영님의료재단 개금중앙요양병원,051-582-7001,1700,0900,1700,0900,1700,0900,1700,0900,1700,0900,A1202386,472,68 ,10,35.15373924607308,129.02489406943312,1300,0900,,,,,
